hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
AsAd,96.07,0.436,0,0,0.056,0.268,0.112,0,0,12.797,61.444,25.759,13.0877,12.2232,13.0554,13.0754,13.0915,13.0847
AdAh,95.999,0.436,0,0,0.057,0.27,0.108,0,0,13.183,62.023,24.794,13.1398,12.3471,13.0695,13.1272,13.1437,13.1367
AsAh,95.99,0.436,0,0,0.057,0.271,0.108,0,0,13.101,62.08,24.819,13.1779,12.4465,13.1367,13.1651,13.1818,13.1752
QsQc,95.889,0.452,0,0,0.098,0.348,0.006,0,0.01,21.573,77.093,1.323,15.3512,15.3385,15.3511,15.3386,15.3548,15.3506
QcQh,95.781,0.452,0.181,0,0.049,0.222,0,39.997,0,10.827,49.176,0,15.4908,15.4901,15.4738,15.4821,15.4932,15.4457
QsQh,95.779,0.452,0.19,0,0.047,0.216,0,41.936,0,10.358,47.706,0,15.7462,15.7446,15.7215,15.7385,15.7492,15.5153
6d6c,95.312,0.442,0.413,0,0.003,0.026,0,93.369,0,0.663,5.968,0,13.8122,13.8122,13.8072,13.8119,13.8132,13.6069
6c6h,95.244,0.442,0.431,0,0.001,0.01,0,97.482,0.004,0.257,2.256,0,13.8788,13.8788,13.8788,13.8786,13.8796,13.6297
6d6h,95.238,0.442,0.43,0,0.002,0.01,0,97.36,0,0.397,2.243,0,13.9979,13.9979,13.9927,13.9973,13.9992,13.6691
AsQs,93.331,0.4,0.399,0,0.001,0,0,99.851,0,0.149,0,0,11.733,11.733,11.7268,11.7331,11.7096,11.3653
AdQc,92.919,0.45,0.448,0,0.002,0,0,99.581,0.006,0.412,0,0,11.3107,11.3107,11.3109,11.3106,11.2547,10.9877
AsQc,92.886,0.45,0.45,0,0,0,0,99.995,0.005,0,0,0,11.3459,11.3459,11.3462,11.3437,11.2578,10.9988
AdQs,92.876,0.45,0.449,0,0.001,0,0,99.697,0.004,0.299,0,0,11.491,11.491,11.4911,11.4906,11.4445,11.0098
