hands,equity,cb,cb_bet200,cb_bet100,cb_bet50,cb_bet25,cb_check,f_bet200,f_bet100,f_bet50,f_bet25,f_check,ev,ev_bet200,ev_bet100,ev_bet50,ev_bet25,ev_check
KsKh,96.12,0.474,0,0,0.041,0.41,0.023,0,0,8.55,86.515,4.935,13.6595,12.4939,13.6529,13.6447,13.6611,13.6575
KsKc,96.12,0.474,0,0,0.041,0.41,0.023,0,0,8.55,86.515,4.935,13.6595,12.4939,13.6529,13.6447,13.6611,13.6575
KcKh,94.548,0.474,0,0,0.042,0.401,0.032,0,0,8.792,84.533,6.674,13.2128,12.2969,13.207,13.1983,13.2145,13.2105
8d8c,94.424,0.438,0,0,0.047,0.383,0.008,0,0.006,10.731,87.379,1.883,13.591,13.2904,13.591,13.5767,13.5928,13.5908
8d8h,94.424,0.438,0,0,0.047,0.383,0.008,0,0.006,10.731,87.379,1.883,13.591,13.2904,13.591,13.5767,13.5928,13.5908
8c8h,94.366,0.438,0,0,0.05,0.378,0.011,0,0,11.353,86.211,2.437,13.5427,13.3382,13.541,13.5271,13.5448,13.5422
AsKs,93.741,0.43,0,0,0.061,0.319,0.05,0.001,0.006,14.119,74.255,11.619,10.0916,10.0915,10.0914,10.0689,10.0965,10.0874
2d2h,92.972,0.43,0,0,0.051,0.378,0,0.006,0.024,11.971,87.999,0,11.9443,11.9446,11.9445,11.9267,11.9467,11.9106
2d2c,92.972,0.43,0,0,0.051,0.378,0,0.006,0.024,11.971,87.999,0,11.9443,11.9446,11.9445,11.9267,11.9467,11.9106
2c2h,92.927,0.43,0,0,0.06,0.369,0.001,0,0.02,14.026,85.818,0.136,11.8708,11.8641,11.8705,11.8501,11.8742,11.8705
Ks8c,91.62,0.24,0,0,0.023,0.204,0.013,0,0.007,9.38,85.167,5.446,9.3412,9.3386,9.3411,9.3262,9.343,9.3389
Ks8h,91.62,0.24,0,0,0.023,0.204,0.013,0,0.007,9.38,85.167,5.446,9.3412,9.3386,9.3411,9.3262,9.343,9.3389
Ks8d,91.59,0.24,0,0,0.019,0.208,0.013,0,0.001,7.909,86.57,5.52,9.2849,9.1704,9.2848,9.2712,9.2863,9.2823
KsQs,91.472,0.394,0,0,0.054,0.329,0.011,0.002,0.02,13.749,83.505,2.724,8.8968,8.8969,8.8966,8.8716,8.9009,8.8964
KsJs,90.76,0.45,0,0,0.052,0.369,0.029,0,0.001,11.621,81.961,6.416,8.7158,8.7066,8.7156,8.6941,8.719,8.7142
KsTs,90.156,0.428,0,0,0.054,0.343,0.031,0,0.004,12.596,80.212,7.188,8.6599,8.6545,8.6596,8.6365,8.6637,8.6579
Kc8h,89.969,0.24,0,0,0.029,0.203,0.008,0,0.006,12.013,84.722,3.258,8.9088,8.9084,8.9087,8.8927,8.9111,8.9078
Kh8c,89.969,0.24,0,0,0.029,0.203,0.008,0,0.006,12.013,84.722,3.258,8.9088,8.9084,8.9087,8.8927,8.9111,8.9078
Kc8d,89.937,0.24,0,0,0.025,0.202,0.013,0,0.016,10.379,84.21,5.394,8.8506,8.785,8.8507,8.8342,8.8528,8.8486
Kh8d,89.937,0.24,0,0,0.025,0.202,0.013,0,0.016,10.379,84.21,5.394,8.8506,8.785,8.8507,8.8342,8.8528,8.8486
Kc8c,89.852,0.308,0,0,0.024,0.269,0.015,0.014,0.03,7.719,87.326,4.911,8.8816,8.8817,8.8816,8.8691,8.8828,8.8805
Kh8h,89.852,0.308,0,0,0.024,0.269,0.015,0.014,0.029,7.719,87.327,4.911,8.8816,8.8817,8.8816,8.8691,8.8828,8.8805
Ks9s,89.598,0.44,0,0,0.063,0.337,0.04,0.005,0.006,14.376,76.526,9.086,8.4848,8.4847,8.4849,8.46,8.4898,8.4822
Ks7s,88.86,0.368,0,0,0.018,0.289,0.061,0,0,4.945,78.573,16.481,8.2791,8.174,8.254,8.2663,8.2818,8.2701
AsKc,88.707,0.446,0,0,0.018,0.37,0.058,0,0,4.049,82.853,13.097,7.0325,7.007,6.9989,7.0262,7.0337,7.0267
AsKh,88.707,0.446,0,0,0.018,0.37,0.058,0,0,4.049,82.853,13.097,7.0325,7.007,6.9989,7.0262,7.0337,7.0267
Ks6s,88.692,0.498,0,0,0.032,0.403,0.063,0,0,6.436,80.921,12.643,8.2359,8.1964,8.2167,8.2217,8.2381,8.2289
Ks3s,88.545,0.458,0,0,0.014,0.376,0.068,0,0,3.025,82.082,14.893,8.2697,8.1967,8.1897,8.2635,8.2711,8.2633
Ks5s,88.544,0.466,0,0,0.021,0.376,0.069,0,0,4.456,80.761,14.783,8.1279,8.0664,8.1019,8.1184,8.1297,8.1205
Ks4s,88.52,0.532,0,0,0.018,0.438,0.076,0,0,3.362,82.34,14.298,8.1727,8.1069,8.1067,8.1665,8.1741,8.1664
AdKs,88.355,0.446,0,0,0.028,0.371,0.047,0,0,6.347,83.204,10.449,6.9882,6.983,6.9817,6.9757,6.9898,6.9829
AhKs,88.173,0.446,0,0,0.02,0.373,0.054,0,0.007,4.44,83.556,11.996,6.9766,6.9763,6.9767,6.9668,6.9778,6.9715
AcKs,88.173,0.446,0,0,0.02,0.373,0.054,0,0.007,4.44,83.556,11.996,6.9766,6.9763,6.9767,6.9668,6.9778,6.9715
Kh2h,88.08,0.576,0,0,0.034,0.465,0.077,0,0,5.986,80.693,13.32,8.007,7.7526,8.0027,7.9961,8.0089,8.0007
Kc2c,88.08,0.576,0,0,0.034,0.465,0.077,0,0,5.986,80.693,13.32,8.007,7.7526,8.0027,7.9961,8.0089,8.0007
AsAd,87.412,0.436,0,0,0.04,0.362,0.035,0.001,0.01,9.085,82.916,7.987,7.2112,7.2111,7.2109,7.1992,7.2128,7.2075
AsAc,87.245,0.436,0,0,0.026,0.387,0.023,0,0.003,5.962,88.82,5.215,7.2134,7.2123,7.213,7.2033,7.2142,7.2111
AsAh,87.245,0.436,0,0,0.026,0.387,0.023,0,0.003,5.962,88.82,5.215,7.2134,7.2123,7.213,7.2033,7.2142,7.2111
AdKh,86.335,0.446,0,0,0.024,0.376,0.046,0,0.001,5.458,84.281,10.261,6.473,6.472,6.473,6.4612,6.4742,6.4693
AdKc,86.335,0.446,0,0,0.024,0.376,0.046,0,0.001,5.458,84.281,10.261,6.473,6.472,6.473,6.4612,6.4742,6.4693
AhKh,86.153,0.43,0,0,0.031,0.358,0.041,0.001,0.001,7.308,83.185,9.505,6.4611,6.4612,6.461,6.448,6.4627,6.4577
AcKc,86.153,0.43,0,0,0.031,0.358,0.041,0.001,0.001,7.308,83.185,9.505,6.4612,6.4613,6.4612,6.4486,6.4627,6.4578
AcKh,86.153,0.446,0,0,0.029,0.373,0.044,0,0.002,6.42,83.652,9.926,6.4613,6.4612,6.461,6.448,6.4627,6.4577
AhKc,86.153,0.446,0,0,0.029,0.373,0.044,0,0.002,6.42,83.651,9.926,6.4613,6.4613,6.4612,6.4486,6.4627,6.4578
KhQs,85.88,0.45,0,0,0.051,0.344,0.055,0,0,11.392,76.496,12.112,6.3536,6.3388,6.3507,6.3337,6.3574,6.3481
KcQs,85.88,0.45,0,0,0.051,0.344,0.055,0,0,11.392,76.496,12.112,6.3536,6.3388,6.3507,6.3337,6.3574,6.3481
KsQd,85.769,0.45,0,0,0.064,0.367,0.019,0,0.005,14.247,81.591,4.157,6.4973,6.4902,6.4972,6.4787,6.5006,6.4956
KsQc,85.49,0.45,0,0,0.038,0.4,0.012,0,0.005,8.39,88.988,2.618,6.477,6.4744,6.477,6.4621,6.4785,6.4761
KsQh,85.49,0.45,0,0,0.038,0.4,0.012,0,0.005,8.39,88.988,2.618,6.477,6.4744,6.477,6.4621,6.4785,6.4761
AdAc,84.779,0.436,0,0,0.033,0.346,0.056,0.003,0.01,7.626,79.468,12.893,6.6108,6.6105,6.6106,6.5966,6.6129,6.6057
AdAh,84.779,0.436,0,0,0.033,0.346,0.056,0.003,0.01,7.626,79.468,12.893,6.6102,6.6105,6.6106,6.5966,6.6122,6.6057
KsJd,84.701,0.444,0,0,0.024,0.393,0.027,0,0,5.355,88.559,6.086,6.0423,6.0241,6.0406,6.0342,6.0429,6.0392
KhJs,84.68,0.444,0,0,0.016,0.348,0.08,0,0,3.591,78.382,18.027,5.8805,5.8447,5.8781,5.8732,5.8828,5.8723
KcJs,84.68,0.444,0,0,0.016,0.348,0.08,0,0,3.591,78.382,18.027,5.8805,5.8447,5.8781,5.8732,5.8828,5.8723
AcAh,84.612,0.436,0,0,0.047,0.322,0.066,0,0.025,10.884,73.901,15.189,6.6088,6.6087,6.609,6.5921,6.6122,6.6041
KsJh,84.484,0.444,0,0,0.023,0.383,0.038,0,0.002,5.163,86.278,8.557,6.0284,6.0132,6.0285,6.0177,6.0294,6.0245
KsJc,84.484,0.444,0,0,0.023,0.383,0.038,0,0.002,5.163,86.278,8.557,6.0284,6.0132,6.0285,6.0177,6.0294,6.0245
KsTd,83.679,0.418,0,0,0.016,0.376,0.026,0,0,3.943,89.856,6.201,5.7464,5.6931,5.7428,5.7395,5.747,5.7424
KcQd,83.647,0.45,0,0,0.074,0.355,0.022,0,0.009,16.413,78.795,4.784,5.9536,5.9532,5.9533,5.9314,5.9583,5.9522
KhQd,83.647,0.45,0,0,0.074,0.355,0.022,0,0.009,16.413,78.795,4.784,5.9536,5.9532,5.9533,5.9314,5.9583,5.9522
KsTh,83.507,0.418,0,0,0.017,0.354,0.048,0,0,4.009,84.597,11.393,5.7245,5.6767,5.7242,5.7169,5.7255,5.7196
KsTc,83.507,0.418,0,0,0.017,0.354,0.048,0,0,4.009,84.598,11.393,5.7245,5.6767,5.7242,5.7169,5.7255,5.7196
